Oil saturation(%),Total hydrocarbon (light hydrocarbon)
37.24,20341
38.89,16307.64
3.81,16712.204
27.01,43985.02
29.04,43985.02
10.26,9157.179
33.6,22227.25
5.66,22667.45
9.13,15444
26.65,23558
29.42,10243
39.96,26677.28
24.91,16711
10.72,391.826
10.7,64308.75
39.85,51369.914
40.54,57164.89
7.83,2198.812
10.07,19341.36
46.91,36182.6
21.89,16414.13
22.61,25193.87
29.23,25193.87
6.96,6044.31
5.52,6044.31
4.4,63656.99
12.85,39035.495
10.32,14289.12
15.27,16547.13
6.91,15611
9.32,31774.91
10.19,31774.91
5.42,27138.82
3.76,23418.34
10.14,25428.535
3.69,5036
16.07,732.1239
11.62,6749.709
9.6,21104.74
3.1,21104.74
3.56,159.269
4.71,159.269
9.79,2173
9.79,6017.026
3.64,614.7785
4.18,1083.202
5.33,1930.557
12.33,1245.850625
11.83,1936.266
3.17,4565.492
14.74,6770.829
7.83,16778.461
5.13,16778.461
25.48,68508.48
5.62,68508.48
8.13,63553.301
6.84,58598.122
7.13,38777.406
5.59,31344.6375
4.08,18956.69
6.88,18956.69
9.91,18956.69
6.5,18956.69
8.16,18956.69
6.18,18956.69
8.17,32366.1475
10.36,32293.06
13.27,21076.62
15.99,29087.92
6.78,197.872
13.16,32985.5
12.63,49249.37
30.4,28482.83
12.44,28482.83
14.73,8935.64
11.77,2988.581
17.54,1767.012
16.2,66.058
10.28,1191.796
10.48,1191.796
10.55,13299.78
17.66,320.64
11.98,677.533
10.6,15059.602
14.84,8479.974
31.29,5362.379
16.8,5362.379
10.02,5362.379
8.93,116045.9
20,79905.44
4.39,29129.19
9.76,44595.56
28.55,67079.18
30.35,306600.4
27.29,8807.301
28.15,185370.8
5.78,6132.433
10.81,8324.532
4.74,252.547
11.22,18.554
4.8,264.591
10.82899662,16780.69201
10.25671199,1716.469
11.19736424,16781.23072
9.96730443,4909.7845
10.28234168,16781.2433
9.897805968,2198.812
10.33540463,16777.40736
10.14003575,16776.87345
10.58262309,22747.42
10.88227916,16776.28408
10.04955699,7681
9.465069758,16776.50504
11.30253169,16775.48919
9.801465117,16779.90876
10.24760483,3380
10.57814378,10716.859
10.40588704,16777.80743
10.80193074,16777.48008
9.813701394,16780.64767
10.35719553,16780.48782
10.78942582,4814.727
10.33204317,16779.79166
9.043887148,16780.25233
9.894075091,16780.63423
10.12821175,5180
9.659112931,16777.05733
10.25315633,16780.626
10.66937055,16778.14176
10.90669704,1762.658
10.10928807,16779.47922
10.49495675,16779.62351
9.81512634,2429.689
9.529126995,640.309
9.355318785,16776.3281
9.636694883,16776.41359
9.73851352,16776.38171
9.011560643,16778.6845
9.54067373,159.269
9.715633488,2382.013
9.947043017,2625
9.626649523,507.468
10.129891,16781.22358
10.01615286,361.089
9.662766695,16777.04997
9.642177768,345.523
10.10626084,1422.545
9.730547461,16776.82512
9.579557793,1083.202
9.691634163,16776.72639
10.1513064,1930.557
10.3479823,157.597
10.17581485,16776.39047
9.560071936,2790
9.372257176,16776.61057
9.485033478,16776.71868
9.515075691,4565.492
10.13082824,2219
10.67796926,1693.814
11.20706743,16776.74673
11.30489057,16775.4347
11.5853422,16775.44638
9.781316513,16780.76137
10.61765548,16777.04692
10.61285207,16776.85799
10.02549382,16778.78184
10.56803303,16779.43489
11.23170179,16776.81147
11.28038146,16776.38082
8.924819583,16781.13602
10.34228656,5959.543
11.2351271,16776.91352
9.802075486,16777.70299
10.49163036,4401.442
9.696619779,16776.38727
9.996149665,4194.901
10.98246727,16777.28607
10.20572378,16779.06797
9.797804252,5924.285
10.61469174,16775.21903
10.26811284,16779.04725
9.645084197,16776.47921
10.09160095,2161.21
10.3392473,16778.56724
11.19513062,1947.887
9.439418257,16776.3488
10.84488367,1109.93
12.59688368,16774.93937
10.77617039,16777.51787
11.23992822,16779.88395
9.452754108,16776.3632
11.73522504,4518.428
11.62025671,16776.70928
11.96638406,4656.145
10.84336125,16778.26042
10.23874887,16778.89605
11.20174497,11214.46
11.64861284,16775.08497
9.626441188,16776.29611
9.93766432,16778.78465
10.69145424,16779.87176
11.21212062,16778.67924
10.59338067,16779.17613
10.96765606,16777.12203
10.97008624,16777.92156
10.60126609,16774.89858
9.532788708,16776.19288
10.58012764,16778.06243
11.58933824,16774.94616
10.47620246,16778.89623
11.44343531,16774.18682
11.21330319,16779.30097
9.636233156,16780.62633
11.1028916,1598.367
10.56805191,16779.42967
11.31163764,16780.44694
10.36208676,16775.09829
10.56843044,16779.43735
9.80266009,16776.9762
10.56724146,16779.43616
10.6831685,16779.14371
9.262765825,16779.90498
10.70562717,16778.51974
10.66074072,16778.72352
10.54967501,16779.36994
10.5615836,16779.4257
10.56724146,16779.43616
10.61785494,16779.48643
10.95612474,16780.87104
10.43823248,16779.5733
11.25286501,16776.64085
10.43584137,16777.53558
10.83200421,16777.59271
10.74885093,16776.97947
11.30214454,16775.41236
10.36418699,6470.3
10.71698163,9555.734
11.43826912,8479.974
10.51727317,16777.01472
9.720514749,16778.59254
11.02924173,16776.64021
10.74709897,16779.5657
10.56724141,16779.43616
10.77214323,16779.63392
10.9425038,16777.27369
10.9160297,16779.18143
12.03878754,16781.05683
12.66149157,16782.83133
11.57234143,16775.11819
11.23146582,16774.4793
11.47886029,17752.66
10.56724196,16779.43616
11.02392892,21796.03
10.99044266,3333.507
10.56724745,13926.01
10.56724146,13926.01
10.73848041,26677.28
33.6,22227.25
10.55817199,57164.89
40.54,57164.89
9.774258159,14289.12
9.367025196,16547.13
10.56576212,16547.13
11.11205427,13265.32
10.56724139,16090.49
10.70574822,10336.71
11.21167447,10336.71
9.544012741,31774.91
10.51698499,31774.91
10.04152302,17358.45
10.68142397,17358.45
10.65192466,16779.35247
10.92430536,16779.80428
10.92212117,16780.80443
10.09520094,16780.78746
10.87661777,16780.26485
11.04656754,16781.32662
11.13058645,16781.2137
11.14660647,16780.56882
10.92859836,16779.88891
10.30136861,16779.63824
10.57956064,16779.42414
11.06652429,16778.83591
11.17013075,16779.14714
10.87888142,16779.67208
9.634894381,16781.04647
10.64472913,16777.11462
10.5026812,8771.57
10.56709752,22747.42
11.16675494,26003.31
11.04124248,26013.26
10.56525465,36182.6
10.1662723,4748
10.58163603,5225.04
11.22424799,7356.938
11.04963897,6044.31
11.0565835,7903.688
10.56724147,22975.19
11.06395798,42.195
10.11918764,2460.574
